Name Dis SpType Mass e_Mass Ref RAh RAm RAs DE- DEd DEm DEs FCont e_FCont rms a e_a PosAng e_PosAng i e_i MDust e_MDust
J15430131-3409153 150 "" "" "" "" 15 43 1.29 - 34 9 15.4 0.01 0.31 0.39 "" "" "" "" "" "" 0.0024 0.0729
J15430227-3444059 150 "" "" "" "" 15 43 2.29 - 34 44 6.2 0.22 0.27 0.34 "" "" "" "" "" "" 0.0517 0.0635
J15445789-3423392 150 M5.0 0.12 0.03 1 15 44 57.9 - 34 23 39.5 -0.05 0.18 0.24 "" "" "" "" "" "" -0.0118 0.0423
J15450634-3417378 150 "" "" "" "" 15 45 6.32 - 34 17 38.28 15.0 0.4 0.34 0.096 0.017 24 39 43 28 3.5252 0.094
J15450887-3417333 150 M5.5 0.14 0.03 2 15 45 8.85 - 34 17 33.81 46.27 0.5 0.4 0.173 0.005 -16 5 45 4 10.874 0.1175
J15592523-4235066 150 M5.0 0.12 0.03 2 15 59 25.24 - 42 35 7.17 -0.03 0.19 0.24 "" "" "" "" "" "" -0.0071 0.0447
J16000060-4221567 150 M4.5 0.19 0.03 2 16 0 0.58 - 42 21 57.12 2.4 0.19 0.25 "" "" "" "" "" "" 0.564 0.0447
J16000236-4222145 150 M4.0 0.24 0.03 2 16 0 2.34 - 42 22 14.99 119.85 0.63 0.34 0.749 0.004 -19 0 65 0 28.1662 0.1481
J16002612-4153553 150 M5.5 0.14 0.03 2 16 0 26.1 - 41 53 55.76 1.2 0.19 0.25 "" "" "" "" "" "" 0.282 0.0447
J16011549-4152351 150 "" "" "" "" 16 1 15.52 - 41 52 35.52 82.07 0.89 0.57 0.733 0.009 -24 1 66 1 19.2874 0.2092
J16070384-3911113 200 M5.5 0.1 0.03 4 16 7 3.82 - 39 11 11.75 4.52 0.55 0.25 "" "" "" "" "" "" 1.8884 0.2298
J16070854-3914075 200 "" "" "" "" 16 7 8.53 - 39 14 7.88 92.07 1.49 0.49 "" "" "" "" "" "" 38.4667 0.6225
J16073773-3921388 200 M5.5 0.11 0.02 1 16 7 37.71 - 39 21 39.12 1.91 0.18 0.23 "" "" "" "" "" "" 0.798 0.0752
J16075475-3915446 200 "" "" "" "" 16 7 54.76 - 39 15 44.74 2.55 0.46 0.33 "" "" "" "" "" "" 1.0654 0.1922
J16080017-3902595 200 M5.5 0.13 0.02 1 16 8 0.15 - 39 2 59.87 3.01 0.17 0.21 "" "" "" "" "" "" 1.2576 0.071
J16080175-3912316 200 K6.0 "" "" 5 16 8 1.75 - 39 12 31.6 0.28 0.26 0.34 "" "" "" "" "" "" 0.117 0.1086
J16081497-3857145 200 M5.5 0.1 0.02 2 16 8 14.96 - 38 57 14.89 8.32 0.3 0.25 0.114 0.019 0 57 0 0 3.4761 0.1253
J160828.1-391310 200 M6.5 0.1 0.01 2 16 8 28.1 - 39 13 10.0 0.23 0.18 0.24 "" "" "" "" "" "" 0.0961 0.0752
J16083070-3828268 200 K2.0 1.81 0.28 2 16 8 30.68 - 38 28 27.21 135.31 1.12 0.48 "" "" "" "" "" "" 56.5323 0.4679
J160831.1-385600 200 "" "" "" "" 16 8 31.1 - 38 56 0.0 0.25 0.26 0.32 "" "" "" "" "" "" 0.1044 0.1086
J16084940-3905393 200 M4.0 0.26 0.03 1 16 8 49.38 - 39 5 39.79 1.7 0.17 0.21 "" "" "" "" "" "" 0.7103 0.071
J16085324-3914401 200 M3.0 0.32 0.04 2 16 8 53.22 - 39 14 40.53 19.57 0.28 0.23 0.08 0.009 0 57 0 0 8.1763 0.117
J16085373-3914367 200 M5.5 0.1 0.02 2 16 8 53.72 - 39 14 37.16 3.17 0.19 0.2 "" "" "" "" "" "" 1.3244 0.0794
J16085529-3848481 200 M6.5 0.1 0.02 2 16 8 55.27 - 38 48 48.52 1.81 0.18 0.26 "" "" "" "" "" "" 0.7562 0.0752
J16085828-3907355 200 "" "" "" "" 16 8 58.27 - 39 7 35.5 0.16 0.25 0.31 "" "" "" "" "" "" 0.0668 0.1044
J16085834-3907491 200 "" "" "" "" 16 8 58.3 - 39 7 49.4 0.04 0.26 0.34 "" "" "" "" "" "" 0.0167 0.1086
J16090141-3925119 200 M4.0 0.24 0.03 1 16 9 1.4 - 39 25 12.34 17.5 0.68 0.3 "" "" "" "" "" "" 7.3115 0.2841
J16091644-3904438 200 "" "" "" "" 16 9 16.43 - 39 4 43.7 0.24 0.26 0.34 "" "" "" "" "" "" 0.1003 0.1086
J16092032-3904015 200 "" "" "" "" 16 9 20.3 - 39 4 1.6 0.13 0.24 0.34 "" "" "" "" "" "" 0.0543 0.1003
J16092317-3904074 200 "" "" "" "" 16 9 23.15 - 39 4 7.4 0.25 0.26 0.34 "" "" "" "" "" "" 0.1044 0.1086
J16092697-3836269 200 M4.5 0.2 0.03 2 16 9 26.96 - 38 36 27.28 3.89 0.27 0.35 "" "" "" "" "" "" 1.6252 0.1128
J160934.2-391513 200 "" "" "" "" 16 9 34.18 - 39 15 12.7 -0.56 0.28 0.34 "" "" "" "" "" "" -0.234 0.117
J16093928-3904316 200 "" "" "" "" 16 9 39.29 - 39 4 31.8 0.12 0.26 0.33 "" "" "" "" "" "" 0.0501 0.1086
J16095628-3859518 200 M6.0 0.1 0.01 1 16 9 56.28 - 38 59 51.9 7.44 0.18 0.24 "" "" "" "" "" "" 3.1084 0.0752
J16100133-3906449 200 M6.5 0.14 0.03 2 16 10 1.32 - 39 6 44.9 0.33 0.25 0.3 "" "" "" "" "" "" 0.1379 0.1044
J16101307-3846165 200 M4.0 "" "" 4 16 10 13.06 - 38 46 16.8 0.01 0.19 0.24 "" "" "" "" "" "" 0.0042 0.0794
J16101857-3836125 200 M5.0 0.15 0.03 2 16 10 18.56 - 38 36 13.0 -0.46 0.18 0.22 "" "" "" "" "" "" -0.1922 0.0752
J16101984-3836065 200 M5.5 0.1 0.02 2 16 10 19.84 - 38 36 6.8 0.55 0.19 0.23 "" "" "" "" "" "" 0.2298 0.0794
J16102741-3902299 200 "" "" "" "" 16 10 27.43 - 39 2 30.2 0.59 0.27 0.33 "" "" "" "" "" "" 0.2465 0.1128
J16102955-3922144 200 M4.5 0.22 0.03 2 16 10 29.53 - 39 22 14.83 7.14 0.35 0.22 0.238 0.021 0 57 82 8 2.9831 0.1462
J16104536-3854547 200 K9.0 "" "" 5 16 10 45.38 - 38 54 54.9 -0.56 0.29 0.36 "" "" "" "" "" "" -0.234 0.1212
J16115979-3823383 200 M5.0 0.15 0.03 1 16 11 59.81 - 38 23 38.5 0.09 0.18 0.21 "" "" "" "" "" "" 0.0376 0.0752
J16120445-3809589 200 "" "" "" "" 16 12 4.48 - 38 9 59.0 -0.04 0.28 0.35 "" "" "" "" "" "" -0.0167 0.117
J16121120-3832197 200 K7.0 "" "" 5 16 12 11.22 - 38 32 19.8 0.08 0.27 0.35 "" "" "" "" "" "" 0.0334 0.1128
J16124373-3815031 200 M1.0 0.47 0.12 2 16 12 43.73 - 38 15 3.4 29.88 0.49 0.38 0.162 0.008 23 8 46 6 12.4838 0.2047
J16134410-3736462 200 M5.0 0.16 0.03 2 16 13 44.07 - 37 36 46.6 2.14 0.3 0.39 "" "" "" "" "" "" 0.8941 0.1253
"MY Lup" 150 K0.0 1.02 0.13 2 16 0 44.5 - 41 55 31.27 176.81 0.76 0.56 0.593 0.003 59 0 73 0 41.5524 0.1786
"RY Lup" 150 K2.0 1.47 0.22 2 15 59 28.37 - 40 21 51.57 275.5 1.16 0.5 "" "" "" "" "" "" 64.7457 0.2726
"Sz 100" 200 M5.5 0.18 0.03 1 16 8 25.74 - 39 6 1.63 54.85 0.58 0.3 "" "" "" "" "" "" 22.9163 0.2423
"Sz 103" 200 M4.0 0.25 0.03 1 16 8 30.25 - 39 6 11.53 11.54 0.28 0.24 0.122 0.012 5 16 51 14 4.8214 0.117
"Sz 104" 200 M5.0 0.18 0.03 1 16 8 30.8 - 39 5 49.21 3.15 0.19 0.25 "" "" "" "" "" "" 1.3161 0.0794
"Sz 106" 200 M0.5 0.51 0.1 1 16 8 39.74 - 39 6 25.71 1.99 0.2 0.26 "" "" "" "" "" "" 0.8314 0.0836
"Sz 108B" 200 M5.0 0.19 0.03 2 16 8 42.86 - 39 6 15.04 26.77 0.34 0.26 0.236 0.005 -26 4 45 3 11.1845 0.1421
"Sz 110" 200 M4.0 0.26 0.03 1 16 8 51.55 - 39 3 18.03 15.4 0.29 0.23 0.153 0.009 13 9 50 7 6.4341 0.1212
"Sz 111" 200 M1.0 0.46 0.12 1 16 8 54.67 - 39 37 43.49 179.39 0.98 0.33 "" "" "" "" "" "" 74.9489 0.4094
"Sz 112" 200 M5.0 0.2 0.03 1 16 8 55.51 - 39 2 34.32 3.89 0.17 0.21 "" "" "" "" "" "" 1.6252 0.071
"Sz 113" 200 M4.5 0.19 0.03 1 16 8 57.78 - 39 2 23.21 22.35 0.27 0.22 0.118 0.007 39 13 38 8 9.3378 0.1128
"Sz 114" 200 M4.8 0.23 0.03 1 16 9 1.83 - 39 5 12.79 96.41 0.41 0.32 0.342 0.002 -19 6 17 2 40.28 0.1713
"Sz 115" 200 M4.5 0.22 0.03 1 16 9 6.21 - 39 8 51.8 0.29 0.18 0.24 "" "" "" "" "" "" 0.1212 0.0752
"Sz 117" 200 M3.5 0.29 0.03 2 16 9 44.34 - 39 13 30.5 10.47 0.18 0.25 "" "" "" "" "" "" 4.3744 0.0752
"Sz 118" 200 K5.0 1.09 0.2 2 16 9 48.64 - 39 11 17.23 63.34 0.97 0.57 "" "" "" "" "" "" 26.4634 0.4053
"Sz 123A" 200 M1.0 0.46 0.11 1 16 10 51.57 - 38 53 14.11 40.64 0.56 0.32 "" "" "" "" "" "" 16.9793 0.234
"Sz 123B" 200 M2.0 0.34 0.09 1 16 10 51.31 - 38 53 12.8 -0.28 0.19 0.24 "" "" "" "" "" "" -0.117 0.0794
"Sz 129" 150 K7.0 0.8 0.15 2 15 59 16.45 - 41 57 10.66 181.12 0.52 0.33 0.458 0.002 -26 1 32 1 42.5653 0.1222
"Sz 130" 150 M2.0 0.37 0.1 1 16 0 31.02 - 41 43 37.33 6.19 0.35 0.24 0.246 0.028 -45 12 53 10 1.4547 0.0823
"Sz 131" 150 M3.0 0.3 0.04 2 16 0 49.42 - 41 30 4.24 8.57 0.29 0.23 0.116 0.018 24 57 0 0 2.0141 0.0682
"Sz 133" 150 K2.0 0.63 0.05 2 16 3 29.37 - 41 40 2.14 69.05 0.77 0.55 0.673 0.009 -53 0 78 1 16.2276 0.181
