\ODISEA_C4_ID  RA            Dec           F1.3  eF1.3 Major  eMajor Minor eMinor   PA     ePA
\              (J2000.0)     (J2000.0)     (mJy) (mJy) (mas)  (mas)  (mas) (mas)   (deg)  (deg)
ODISEA_C4_001  16:21:31.924 -23:01:40.79   4.60  0.16   ...    ...    ...    ...    ...    ... 
ODISEA_C4_002     ...           ...        0.17  0.20   ...    ...    ...    ...    ...    ... 
ODISEA_C4_003  16:21:45.123 -23:42:32.19  40.09  0.23  541.0    3.6   97.2    5.0  174.2    1.0
ODISEA_C4_004  16:21:48.474 -23:40:27.76   3.25  0.31   ...    ...    ...    ...    ...    ... 
ODISEA_C4_005  16:22:18.522 -23:21:48.62  29.84  0.24  184.4    4.9  133.2    6.0  108.7    0.3
ODISEA_C4_006     ...           ...       -0.19  0.13   ...    ...    ...    ...    ...    ... 
ODISEA_C4_007  16:22:24.953 -23:29:55.41  13.57  0.18   ...    ...    ...    ...    ...    ... 
ODISEA_C4_008     ...           ...       -0.03  0.31   ...    ...    ...    ...    ...    ... 
ODISEA_C4_009  16:23:05.418 -23:02:57.49   5.24  0.19   ...    ...    ...    ...    ...    ... 
ODISEA_C4_010  16:23:06.842 -22:57:37.37   0.73  0.13   ...    ...    ...    ...    ...    ... 
ODISEA_C4_011  16:23:08.775 -22:57:43.45   1.89  0.28   ...    ...    ...    ...    ...    ... 
ODISEA_C4_012  16:23:09.220 -24:17:05.40  43.40  0.24  345.4    2.8  345.4    6.8   23.2    0.7
ODISEA_C4_013     ...           ...        0.08  0.13   ...    ...    ...    ...    ...    ... 
ODISEA_C4_014  16:23:34.782 -23:40:30.39   2.78  0.27   ...    ...    ...    ...    ...    ... 
ODISEA_C4_015  16:24:59.791 -24:56:01.19   2.91  0.31   ...    ...    ...    ...    ...    ...
ODISEA_C4_016B 16:25:02.010 -24:59:33.02   9.24  0.20  141.0   16.0  118.0   15.0  133.0   43.0
ODISEA_C4_016A 16:25:02.118 -24:59:32.82  13.10  0.26  209.4    9.4  173.7   14.7    6.2   15.9
ODISEA_C4_017  16:25:06.908 -23:50:50.81   5.21  0.22  234.1   29.0   70.0   40.0  173.8    1.3
ODISEA_C4_018  16:25:24.343 -24:29:44.85  12.40  0.15  118.4    5.4  100.6   32.1    0.0    1.4
ODISEA_C4_019     ...           ...       -0.13  0.15   ...    ...    ...    ...    ...    ... 
ODISEA_C4_020  16:25:32.534 -23:26:26.81   1.22  0.16   ...    ...    ...    ...    ...    ... 
ODISEA_C4_021  16:25:36.731 -24:15:43.00   7.95  0.20  175.0    3.0   47.1    3.0   14.2    0.0
ODISEA_C4_022A 16:25:38.113 -24:22:37.08  72.26  0.49 1089.0   17.3  862.4   16.1   15.8    2.4
ODISEA_C4_022B 16:25:38.139 -24:22:38.37   1.32  0.16   ...    ...    ...    ...    ...    ... 
ODISEA_C4_023  16:25:39.425 -23:26:42.26   1.62  0.30   ...    ...    ...    ...    ...    ... 
ODISEA_C4_024     ...           ...        0.20  0.15   ...    ...    ...    ...    ...    ... 
ODISEA_C4_025  16:25:42.883 -23:25:26.53   2.47  0.13   ...    ...    ...    ...    ...    ... 
