Table 1 
Protostellar Source Data: Classes, Bolometric Temperatures, Continuum Fluxes, and Derived Masses


Source	R.A.^a	Decl.^a	Class^b	T_bol^b	S_>40 klambda	S_14."6	S_disk^c	S_env^c	M_disk^c	M_env^c	M_disk,max	
	(J2000)	(J2000)		(K)	(mJy bm^-1)	(Jy bm^-1)	(mJy bm^-1)	(Jy bm^-1)	(M_sun)	(M_sun)	($3{\sigma }_{{M}_{\mathrm{disk}}}$)	
Per-emb-1^d^,^e	03:43:56.77	+31:00:49.87	0	27	0.110	1.51	0.085	1.26	0.061	1.15	cdots	
Per-emb-2^d^,^e	03:32:17.92	+30:49:48.03	0	27	0.415	1.32	0.413	0.123	0.299	0.144	cdots	
Per-emb-3^e	03:29:00.55	+31:11:59.85	0	32	0.044	0.365	0.039	0.253	0.028	0.365	cdots	
Per-emb-5^d^,^e	03:31:20.93	+30:45:30.33	0	32	0.208	0.622	0.207	0.023	0.150	0.023	cdots	
Per-emb-6	03:33:14.42	+31:07:10.62	0	52	0.008	0.457	-0.001	0.461	-0.001	0.802	0.006	
Per-emb-8^d^,^e	03:44:43.98	+32:01:34.97	0	43	0.107	0.642	0.099	0.355	0.072	0.283	cdots	
Per-emb-9	03:29:51.88	+31:39:05.52	0	36	0.013	0.420	0.004	0.408	0.003	0.552	0.008	
Per-emb-10	03:33:16.41	+31:06:52.38	0	30	0.012	0.605	0.00	0.605	0.00	0.818	0.006	
Per-emb-11^d^,^e	03:43:57.06	+32:03:04.67	0	30	0.190	1.42	0.172	0.922	0.125	0.897	cdots	
Per-emb-12^d^,^e	03:29:10.49	+31:13:31.37	0	29	1.74	8.96	1.66	4.16	1.20	2.32	cdots	
Per-emb-13^e	03:29:11.99	+31:13:08.14	0	28	0.726	4.02	0.685	2.04	0.497	1.39	cdots	
Per-emb-14^d^,^e	03:29:13.52	+31:13:57.75	0	31	0.082	0.737	0.071	0.530	0.052	0.679	cdots	
Per-emb-15	03:29:04.21	+31:14:48.64	0	36	0.016	0.645	0.003	0.637	0.002	0.998	0.010	
Per-emb-16	03:43:51.00	+32:03:23.86	0	39	0.011	0.467	0.002	0.462	0.001	0.724	0.007	
Per-emb-17^e	03:27:39.12	+30:13:02.53	0	59	0.051	0.538	0.043	0.413	0.031	0.277	cdots	
Per-emb-18^d^,^e	03:29:11.26	+31:18:31.33	0	59	0.117	1.18	0.099	0.892	0.072	0.693	cdots	
Per-emb-19	03:29:23.48	+31:33:28.94	0/I	60	0.011	0.275	0.006	0.257	0.004	0.418	0.007	
Per-emb-20	03:27:43.20	+30:12:28.96	0/I	65	0.012	0.381	0.004	0.369	0.003	0.368	0.007	
Per-emb-21^e	03:29:10.69	+31:18:20.15	0	45	0.045	1.09	0.024	1.02	0.017	0.575	cdots	
Per-emb-22^e	03:25:22.35	+30:45:13.21	0	43	0.075	1.24	0.054	1.08	0.039	0.766	cdots	
Per-emb-23	03:29:17.25	+31:27:46.34	0	42	0.011	0.346	0.004	0.334	0.003	0.408	0.006	
Per-emb-25^e	03:26:37.49	+30:15:27.90	0/I	61	0.082	0.331	0.080	0.101	0.058	0.107	cdots	
Per-emb-26^e	03:25:38.87	+30:44:05.30	0	47	0.170	1.73	0.143	1.32	0.104	0.690	cdots	
Per-emb-27^d^,^e	03:28:55.56	+31:14:37.17	0/I	69	0.247	2.70	0.205	2.11	0.148	0.822	cdots	
Per-emb-28	03:43:50.99	+32:03:07.97	0	45	0.007	0.429	-0.001	0.432	-0.001	0.554	0.007	
Per-emb-29^e	03:33:17.86	+31:09:32.31	0	48	0.132	2.12	0.095	1.85	0.069	1.30	cdots	
Per-emb-30^d^,^e	03:33:27.30	+31:07:10.19	0/I	78	0.043	0.181	0.041	0.061	0.030	0.057	cdots	
Per-emb-33^d^,^e	03:25:36.32	+30:45:14.77	0	57	0.539	4.30	0.481	2.91	0.348	1.53	cdots	
Per-emb-35^d^,^e	03:28:37.12	+31:13:31.24	I	103	0.036	0.510	0.027	0.432	0.048	0.220	cdots	
Per-emb-36^e	03:28:57.36	+31:14:15.61	I	106	0.125	0.582	0.121	0.234	0.214	0.144	cdots	
Per-emb-37	03:29:18.94	+31:23:13.11	0	22	0.013	0.408	0.005	0.393	0.004	0.569	0.006	
Per-emb-40	03:33:16.65	+31:07:54.81	I	132	0.017	0.286	0.011	0.252	0.020	0.246	0.023	
Per-emb-44^e	03:29:03.72	+31:16:03.30	0/I	188	0.322	2.89	0.281	2.08	0.203	0.668	cdots	
Per-emb-46	03:28:00.36	+30:08:01.01	I	221	0.008	0.071	0.007	0.050	0.013	0.088	0.019	
Per-emb-47	03:28:34.51	+31:00:50.70	I	230	0.009	0.043	0.009	0.018	0.016	0.019	0.017	
Per-emb-49	03:29:12.09	+31:18:14.02	I	239	0.015	0.396	0.008	0.374	0.014	0.407	0.036	
Per-emb-50^d^,^e	03:29:07.76	+31:21:57.16	I	128	0.098	0.553	0.093	0.286	0.164	0.104	cdots	
Per-emb-51	03:28:34.52	+31:07:05.47	I	263	0.010	0.227	0.006	0.211	0.010	0.618	0.026	
Per-emb-53^d^,^e	03:47:41.58	+32:51:43.75	I	287	0.026	0.315	0.021	0.254	0.037	0.164	cdots	
Per-emb-54	03:29:02.83	+31:20:41.32	I	131	0.014	1.11	-0.009	1.14	-0.017	0.466	0.028	
Per-emb-56	03:47:05.42	+32:43:08.33	I	312	0.015	0.098	0.014	0.058	0.025	0.081	0.031	
Per-emb-57^e	03:29:03.32	+31:23:14.34	I	313	0.026	0.043	0.027	-0.034	0.048	-0.092	cdots	
Per-emb-58	03:28:58.36	+31:22:16.81	I	322	0.012	0.202	0.008	0.178	0.015	0.237	0.015	
Per-emb-60	03:29:19.94	+31:24:02.62	I	363	0.004	0.246	-0.001	0.249	-0.002	0.444	0.014	
Per-emb-61	03:44:21.30	+31:59:32.53	I	371	0.010	0.113	0.008	0.091	0.014	0.170	0.026	
Per-emb-62^d^,^e	03:44:12.97	+32:01:35.29	I	378	0.074	0.202	0.074	-0.014	0.132	-0.013	cdots	
Per-emb-63^d^,^e	03:28:43.28	+31:17:33.25	I	436	0.018	0.146	0.016	0.100	0.028	0.089	cdots	
Per-emb-64^e	03:33:12.85	+31:21:23.95	I	438	0.050	0.073	0.052	-0.077	0.092	-0.057	cdots	
Per-emb-65^e	03:28:56.30	+31:22:27.69	I	440	0.030	0.097	0.029	0.012	0.052	0.026	cdots	
SVS13B^d^,^e	03:29:03.03	+31:15:51.36	0	20	0.234	2.89	0.187	2.35	0.135	2.65	cdots	
SVS13C^d^,^e	03:29:01.97	+31:15:38.20	0	21	0.055	1.34	0.030	1.26	0.022	1.22	cdots	
B1-bN^e	03:33:21.20	+31:07:43.93	0	14.7	0.152	1.36	0.132	0.976	0.096	1.66	cdots	
B1-bS^e	03:33:21.33	+31:07:26.42	0	17.7	0.281	1.78	0.260	1.03	0.189	1.32	cdots	
L1448IRS3A^e	03:25:35.68	+30:45:35.16	I	47	0.132	4.30	0.049	4.16	0.087	2.11	cdots	
L1448NW	03:25:36.46	+30:45:21.43	0	22	0.055	1.76	0.021	1.70	0.015	1.69	0.016	
L1451-MMS^e	03:25:10.24	+30:23:55.01	0	15	0.035	0.216	0.032	0.123	0.023	0.406	cdots	
Per-Bolo-45	03:29:06.76	+31:17:22.30	0	15	0.013	0.440	0.004	0.428	0.003	1.42	0.014	
Per-Bolo-58	03:29:25.42	+31:28:14.21	0	15	0.009	0.271	0.003	0.261	0.002	0.865	0.007	
IRAS4B'^e	03:29:12.83	+31:13:06.96	0	15	0.276	4.02	0.207	3.42	0.150	8.82	cdots	
Notes. Uncertainties in the measured fluxes (S_>40 klambda and S_14."6) are approximately 2%-20%. As discussed in Section 3.4, uncertainties in the derived disk and envelope fluxes and masses approach an order of magnitude.
^a Location of the MASSES envelope. Most of these coordinates are from Pokhrel et al. (2018). Accurate positions of the protostars themselves can be found in Tobin et al. (2016b).
^b Data obtained from Tobin et al. (2016b) and references therein.
^c Negative values are consistent with 0, and are simply a result of the calculations in Equation (1).
^d We compare our measured disk masses for each of these 18 sources to those measured by Segura-Cox et al. (2016) and S18 (see Section 4.1).
^e We compare our measured disk masses for each of these 36 sources to those measured by T18 (see Section 4.1).
