Title: ALMA Observations of Circumstellar Disks in the Upper Scorpius OB 
       Association 
Authors: Barenfeld S.A., Carpenter J.M., Ricci L., Isella A. 
Table: Derived Dust Masses
================================================================================
Byte-by-byte Description of file: apjaa2b81t5_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label   Explanations
--------------------------------------------------------------------------------
   1- 23 A23    ---       Source  2MASS ID 
  25- 25 A1     ---     f_Mdust   Upper limit flag on Mdust, in Earth Masses
  26- 31 F6.2   Mearth    Mdust   Disk dust mass
  33- 37 F5.2   Mearth  e_Mdust   ? Uncertainty in Mdust, in Earth Masses
--------------------------------------------------------------------------------
2MASS J15354856-2958551    0.62  0.16 
2MASS J15514032-2146103    0.49  0.15 
2MASS J15521088-2125372 <  0.52       
2MASS J15530132-2114135    3.34  0.83 
2MASS J15534211-2049282    1.18  0.31 
2MASS J15551704-2322165 <  0.17       
2MASS J15554883-2512240 <  0.07       
2MASS J15562477-2225552 <  0.46       
2MASS J15570641-2206060 <  0.69       
2MASS J15572986-2258438 <  0.40       
2MASS J15581270-2328364 <  0.07       
2MASS J15582981-2310077    3.77  0.94 
2MASS J15583692-2257153   24.30  5.99 
2MASS J15584772-1757595 <  0.09       
2MASS J16001330-2418106 <  0.16       
2MASS J16001730-2236504 <  0.22       
2MASS J16001844-2230114    2.08  0.52 
2MASS J16014086-2258103    1.48  0.37 
2MASS J16014157-2111380    0.56  0.17 
2MASS J16020039-2221237 <  0.11       
2MASS J16020287-2236139 <  0.35       
2MASS J16020757-2257467    2.08  0.52 
2MASS J16024152-2138245    7.63  1.89 
2MASS J16025123-2401574 <  0.12       
2MASS J16030161-2207523    2.48  0.62 
2MASS J16031329-2112569 <  0.29       
2MASS J16032225-2413111    1.10  0.28 
2MASS J16035767-2031055    0.98  0.25 
2MASS J16035793-1942108    0.53  0.14 
2MASS J16041740-1942287    0.45  0.13 
2MASS J16042165-2130284   52.29 12.90 
2MASS J16043916-1942459    0.27  0.10 
2MASS J16050231-1941554 <  0.39       
2MASS J16052459-1954419 <  0.34       
2MASS J16052556-2035397    1.05  0.28 
2MASS J16052661-1957050 <  0.28       
2MASS J16053215-1933159 <  0.75       
2MASS J16054540-2023088    3.27  0.81 
2MASS J16055863-1949029 <  0.26       
2MASS J16060061-1957114 <  0.23       
2MASS J16061330-2212537 <  0.12       
2MASS J16062196-1928445    0.99  0.27 
2MASS J16062277-2011243    0.43  0.14 
2MASS J16063539-2516510    1.51  0.39 
2MASS J16064102-2455489    3.06  0.76 
2MASS J16064115-2517044 <  0.38       
2MASS J16064385-1908056    0.23  0.07 
2MASS J16070014-2033092 <  0.30       
2MASS J16070211-2019387 <  0.49       
2MASS J16070873-1927341 <  0.28       
2MASS J16071971-2020555 <  0.32       
2MASS J16072625-2432079    5.71  1.41 
2MASS J16072747-2059442    0.99  0.25 
2MASS J16073939-1917472    0.22  0.07 
2MASS J16075796-2040087    9.31  2.30 
2MASS J16080555-2218070 <  0.15       
2MASS J16081566-2222199    0.39  0.11 
2MASS J16082324-1930009   13.94  3.45 
2MASS J16082751-1949047    0.42  0.12 
2MASS J16083455-2211559 <  0.28       
2MASS J16084894-2400045 <  0.27       
2MASS J16090002-1908368    1.15  0.29 
2MASS J16090075-1908526   13.50  3.34 
2MASS J16093558-1828232    0.34  0.11 
2MASS J16094098-2217594    0.10  0.03 
2MASS J16095361-1754474    0.58  0.17 
2MASS J16095441-1906551    0.17  0.06 
2MASS J16095933-1800090    0.32  0.11 
2MASS J16101473-1919095 <  0.20       
2MASS J16101888-2502325 <  0.49       
2MASS J16102174-1904067 <  0.17       
2MASS J16102819-1910444 <  0.48       
2MASS J16102857-1904469    0.17  0.06 
2MASS J16103956-1916524 <  0.24       
2MASS J16104202-2101319 <  0.12       
2MASS J16104636-1840598    1.53  0.39 
2MASS J16111330-2019029    1.83  0.45 
2MASS J16111534-1757214 <  0.19       
2MASS J16112057-1820549 <  0.10       
2MASS J16113134-1838259  127.28 31.39 
2MASS J16115091-2012098    0.32  0.10 
2MASS J16122737-2009596    0.39  0.14 
2MASS J16123916-1859284    1.79  0.45 
2MASS J16124893-1800525 <  0.27       
2MASS J16125533-2319456 <  0.05       
2MASS J16130996-1904269 <  0.25       
2MASS J16133650-2503473    0.41  0.13 
2MASS J16135434-2320342    3.81  0.94 
2MASS J16141107-2305362    0.68  0.17 
2MASS J16142029-1906481   10.52  2.59 
2MASS J16142893-1857224 <  0.19       
2MASS J16143367-1900133    0.36  0.10 
2MASS J16145918-2750230 <  0.11       
2MASS J16145928-2459308 <  0.16       
2MASS J16151239-2420091 <  0.53       
2MASS J16153456-2242421    2.57  0.63 
2MASS J16154416-1921171    5.99  1.48 
2MASS J16163345-2521505    1.15  0.30 
2MASS J16181618-2619080 <  0.22       
2MASS J16181904-2028479    3.02  0.75 
2MASS J16215466-2043091    0.13  0.04 
2MASS J16220961-1953005 <  0.16       
2MASS J16230783-2300596 <  0.07       
2MASS J16235385-2946401 <  0.06       
2MASS J16270942-2148457    2.41  0.60 
2MASS J16303390-2428062    0.32  0.09 
