source,zoom,xmean,ymean,xsigma,ysigma,notes,
3,5,-,-,-,-,-,
4,4,-,-,-,-,-,
7,4,-,-,-,-,-,
8,4,-,-,-,-,-,
11,4,-,-,-,-,-,
13,4,-,-,-,-,-,
16,4,-,-,-,-,-,
21,4,-,-,-,-,-,
23,4,-,-,-,-,-,
30,4,-,-,-,-,nonconv,
33,4,-,-,-,-,-,
35,4.5,-,-,-,-,
36,4,-,-,-,-,nonconv,
40,3,-,-,-,-,-,
45,6,-,-,-,-,nonconv,
50,3.5,-,-,-,-,
56,10,-,-,-,-,nonconv,
63,6,-,-,-,-,nonconv,
64,3.5,-,-,-,-,-,
65,4.5,-,-,-,-,-,
66,4.5,-,-,-,-,-,
67,3.5,-,-,-,-,-,
68,5,-,-,-,-,nonconv,
69,3.5,-,-,-,-,-,
70,6,-,-,-,-,nonconv,
71,7,-,-,-,-,nonconv,
