ID	alpha	delta	F_lambda850mum	
HC190	5 35 13.23	-5 23 55.50	<10.0	
HC301	5 35 13.26	-5 23 22.80	<1.3	
HC380	5 35 13.29	-5 22 57.90	<1.7	
133-353	5 35 13.30	-5 23 53.05	<8.3	
HC471	5 35 13.37	-5 22 26.20	<9.6	
HC198	5 35 13.38	-5 23 53.20	<7.8	
HC240	5 35 13.45	-5 23 40.40	<4.2	
HC266	5 35 13.53	-5 23 30.90	<1.4	
HC178	5 35 13.55	-5 23 59.70	<14.6	
HC222	5 35 13.68	-5 23 45.40	<11.6	
HC483	5 35 13.75	-5 22 22.00	<11.2	
HC254	5 35 13.86	-5 23 35.00	<1.5	
HC451	5 35 13.97	-5 22 31.90	<8.4	
HC247	5 35 14.05	-5 23 38.50	<2.0	
HC438	5 35 14.09	-5 22 36.60	<7.8	
HC458	5 35 14.31	-5 22 30.70	<11.0	
HC448	5 35 14.36	-5 22 32.80	<21.5	
HC439	5 35 14.37	-5 22 36.10	<8.8	
HC300	5 35 14.40	-5 23 23.10	<0.5	
HC258	5 35 14.40	-5 23 33.70	<0.8	
HC759	5 35 14.50	-5 22 29.40	<28.2	
HC784	5 35 14.50	-5 22 38.78	<8.2	
HC193	5 35 14.53	-5 23 55.10	<7.5	
HC209	5 35 14.57	-5 23 50.80	<6.5	
HC443	5 35 14.66	-5 22 33.80	<11.0	
HC369	5 35 14.67	-5 23 1.90	<0.7	
HC755	5 35 14.71	-5 22 35.50	<8.8	
HC464	5 35 14.73	-5 22 29.80	<15.9	
HC220	5 35 14.82	-5 23 46.50	<1.6	
HC773	5 35 14.82	-5 22 23.20	<10.5	
HC324	5 35 14.84	-5 23 16.00	<0.5	
HC453	5 35 14.87	-5 22 31.70	<10.4	
HC431	5 35 14.92	-5 22 39.10	<6.5	
HC245	5 35 14.95	-5 23 39.30	<0.8	
150-231	5 35 15.02	-5 22 31.11	<7.2	
HC195	5 35 15.04	-5 23 54.50	<2.0	
HC373	5 35 15.04	-5 23 1.10	<0.6	
HC298	5 35 15.07	-5 23 23.40	<0.5	
