#Table 1 
#Fluxes and Inferred Disk Masses for ALMA-detected Sources


ID	alpha	delta	M_*	F_lambda 850mum	F_dust	M_dust^a	R_disk	remove
#	(J2000)	(J2000)	(M_sun)	(mJy)	(mJy)	(M_oplus)	(au)	
HC273	5 35 13.41	-5 23 29.30	cdots	5.6 +or- 0.4	5.6 +or- 0.4	9.8 +or- 0.7	15.1 +or- 1.2	
HC360	5 35 13.53	-5 23 4.50	0.10	2.0 +or- 0.2	2.0 +or- 0.2	3.5 +or- 0.3	<5	
HC192	5 35 13.59	-5 23 55.30	cdots	12.2 +or- 2.5	12.5 +or- 4.8	21.8 +or- 8.4	16.8 +or- 0.7	
HC242	5 35 13.80	-5 23 40.20	cdots	31.5 +or- 0.9	31.5 +or- 0.9	55.0 +or- 1.6	15.1 +or- 0.5	
139-320	5 35 13.92	-5 23 20.16	0.07	2.3 +or- 0.2	2.2 +or- 0.3	3.9 +or- 0.5	15.4 +or- 1.4	
142-301	5 35 14.15	-5 23 0.91	cdots	6.8 +or- 0.3	2.5 +or- 2.0	4.5 +or- 3.5	37.7 +or- 0.7	
HC361	5 35 14.29	-5 23 4.30	cdots	19.9 +or- 0.5	19.9 +or- 0.5	34.7 +or- 0.9	29.1 +or- 0.3	
HC345	5 35 14.32	-5 23 8.30	0.09	4.0 +or- 0.2	4.0 +or- 0.2	7.0 +or- 0.3	<5	
HC399	5 35 14.37	-5 22 54.10	cdots	11.2 +or- 0.4	11.2 +or- 0.4	19.6 +or- 0.7	11.8 +or- 0.6	
HC391	5 35 14.39	-5 22 55.70	0.18	1.3 +or- 0.3	1.3 +or- 0.3	2.3 +or- 0.5	39.8 +or- 3.2	
HC189	5 35 14.53	-5 23 56.00	cdots	46.3 +or- 1.9	46.3 +or- 1.9	80.8 +or- 3.3	43.3 +or- 0.7	
HC364	5 35 14.54	-5 23 3.70	0.12	4.2 +or- 0.2	4.2 +or- 0.2	7.3 +or- 0.3	<5	
HC276	5 35 14.66	-5 23 28.70	cdots	0.7 +or- 0.1	0.7 +or- 0.1	1.2 +or- 0.2	18.4 +or- 4.0	
HC756/7	5 35 14.67	-5 22 38.60	cdots	17.3 +or- 2.0	17.3 +or- 2.0	30.2 +or- 3.5	45.4 +or- 2.1	
HC411	5 35 14.70	-5 22 49.40	0.46	6.7 +or- 0.7	6.7 +or- 0.7	11.7 +or- 1.2	12.2 +or- 1.6	
147-323	5 35 14.72	-5 23 23.01	0.50	6.2 +or- 0.2	6.8 +or- 0.9	11.9 +or- 1.6	26.5 +or- 0.6	
148-305	5 35 14.80	-5 23 4.76	cdots	0.7 +or- 0.2	0.5 +or- 0.3	0.9 +or- 0.5	15.8 +or- 4.4	
HC771	5 35 14.86	-5 22 44.10	cdots	13.0 +or- 1.3	13.0 +or- 1.3	22.7 +or- 2.3	31.8 +or- 2.2	
HC714	5 35 14.88	-5 23 5.10	0.38	4.2 +or- 0.2	4.2 +or- 0.2	7.3 +or- 0.3	<5	
149-329	5 35 14.92	-5 23 29.05	0.17	0.8 +or- 0.1	0.7 +or- 0.1	1.2 +or- 0.2	22.3 +or- 3.4	
HC334	5 35 15.00	-5 23 14.30	cdots	0.7 +or- 0.1	0.7 +or- 0.1	1.2 +or- 0.2	<5	
HC398	5 35 15.20	-5 22 54.40	1.28	1.2 +or- 0.2	1.2 +or- 0.2	2.1 +or- 0.3	22.5 +or- 4.9	
152-319	5 35 15.20	-5 23 18.81	0.10	2.2 +or- 0.1	1.8 +or- 0.2	3.2 +or- 0.4	10.2 +or- 1.5	
154-324	5 35 15.35	-5 23 24.11	cdots	0.6 +or- 0.1	0.2 +or- 0.2	0.4 +or- 0.3	31.9 +or- 4.7	
