# %ECSV 0.9
# ---
# datatype:
# - {name: '[MGM2012]', datatype: int16}
# - {name: RA, datatype: string}
# - {name: Dec, datatype: string}
# - {name: d, datatype: float64}
# - {name: l_F_225GHz, datatype: string}
# - {name: F_225GHz, datatype: float64}
# - {name: e_F_225GHz, datatype: float64}
# - {name: l_M_dust, datatype: string}
# - {name: M_dust, datatype: float64}
# - {name: e_M_dust, datatype: float64}
# - {name: resolved, datatype: int64}
# schema: astropy-2.0
[MGM2012] RA Dec d l_F_225GHz F_225GHz e_F_225GHz l_M_dust M_dust e_M_dust resolved
2 05:42:30.53 -10:10:48.62 454.29344068114403 < 0.37660141112061196 0.09415035278015299 < 2.3763074002924727 0.5940768500731182 0
3 05:43:01.59 -10:07:50.40 454.29344068114403 "" 0.3798610996454954 0.09243812501071114 "" 2.3968756237127726 0.5832729088255166 0
5 05:42:31.78 -10:05:26.56 454.29344068114403 < 0.3093246222501633 0.07733115556254082 < 1.9517993487027228 0.4879498371756807 0
6 05:42:37.98 -10:03:42.94 454.29344068114403 < 0.30322757761978514 0.07580689440494628 < 1.9133277661561534 0.47833194153903835 0
7 05:42:59.94 -10:03:40.62 454.29344068114403 "" 0.490967882797122 0.08810152196214883 "" 3.0979454105738315 0.5559094906010184 0
8 05:43:00.00 -10:03:36.06 454.29344068114403 "" 0.8493343484587967 0.10027409920959728 "" 5.359192605146244 0.632716917603674 0
9 05:42:57.87 -10:03:36.34 454.29344068114403 < 0.34610984378187554 0.08652746094546888 < 2.1839094565408756 0.5459773641352189 0
10 05:42:37.07 -10:03:30.00 454.29344068114403 < 0.38404033157503836 0.09601008289375959 < 2.4232460500267914 0.6058115125066978 0
11 05:42:44.45 -10:03:18.78 454.29344068114403 "" 4.089283756911755 0.09707429012233071 "" 25.8028646906293 0.6125265258816435 0
12 05:42:52.84 -10:02:42.66 454.29344068114403 < 0.3659879479053286 0.09149698697633216 < 2.309337786168716 0.577334446542179 0
13 05:42:52.58 -10:02:29.02 454.29344068114403 < 0.34435639887447667 0.08608909971861917 < 2.1728454403518267 0.5432113600879567 0
15 05:42:12.35 -10:02:10.24 454.29344068114403 < 0.35856428562179715 0.08964107140544929 < 2.2624954135681037 0.5656238533920259 0
16 05:42:34.32 -10:01:52.30 454.29344068114403 < 0.36368532930495545 0.09092133232623886 < 2.2948085532488594 0.5737021383122148 0
17 05:42:27.76 -10:01:51.40 454.29344068114403 "" 10.110331699252129 0.08418823779235332 "" 63.79491772177659 0.5312171611047959 0
18 05:42:25.72 -10:01:48.28 454.29344068114403 < 0.3923351551105088 0.0980837887776272 < 2.4755853402403 0.618896335060075 0
20 05:42:34.89 -10:01:46.62 454.29344068114403 "" 17.491376027464867 0.10660255608579203 "" 110.36837640008568 0.6726486822313884 0
21 05:42:28.57 -10:01:42.48 454.29344068114403 < 0.33528925089669326 0.08382231272417331 < 2.11563288032705 0.5289082200817625 0
22 05:42:31.53 -10:01:36.82 454.29344068114403 "" 0.9582844795659184 0.07766181618706691 "" 6.046654189642996 0.49003626400745637 0
25 05:42:00.07 -10:01:11.76 454.29344068114403 < 0.32677854431959985 0.08169463607989996 < 2.06193139535203 0.5154828488380075 0
26 05:42:38.18 -10:01:08.40 454.29344068114403 < 0.34155487823891995 0.08538871955972999 < 2.1551681985206392 0.5387920496301598 0
27 05:42:41.54 -10:01:06.02 454.29344068114403 < 0.3553709512188907 0.08884273780472267 < 2.242345876287679 0.5605864690719198 0
28 05:43:05.05 -10:01:02.70 454.29344068114403 "" 0.9213006705977023 0.09140457465971445 "" 5.813291020129993 0.5767513364810579 0
29 05:42:36.48 -10:01:03.16 454.29344068114403 "" 0.3783796273637563 0.08743212994375486 "" 2.38752772048546 0.5516857114009535 0
30 05:42:15.38 -10:00:58.78 454.29344068114403 < 0.3752403019706198 0.09381007549265495 < 2.3677189732440773 0.5919297433110193 0
33 05:42:15.97 -10:00:41.08 454.29344068114403 "" 0.400623248424381 0.08742524369031149 "" 2.5278821636044624 0.5516422600103464 0
34 05:42:30.49 -10:00:38.62 454.29344068114403 < 0.36782924775461734 0.09195731193865433 < 2.320956155959213 0.5802390389898032 0
35 05:42:24.32 -10:00:36.18 454.29344068114403 < 0.4109190451174197 0.10272976127935493 < 2.5928473420427856 0.6482118355106964 0
36 05:42:39.10 -10:00:33.86 454.29344068114403 "" 1.190162729471922 0.09074371517109725 "" 7.509776697811278 0.5725813964676053 0
38 05:43:04.90 -10:00:20.30 454.29344068114403 "" 1.3004139764234424 0.09175085483286721 "" 8.205448159165584 0.5789363206944439 0
39 05:42:32.34 -10:00:15.96 454.29344068114403 < 0.3644328993726454 0.09110822484316135 < 2.2995256260787325 0.5748814065196831 0
41 05:42:34.26 -09:59:49.08 454.29344068114403 < 0.3489387488188806 0.08723468720472015 < 2.2017594904909794 0.5504398726227449 0
43 05:42:16.90 -09:59:42.34 454.29344068114403 "" 14.534101821482182 0.11924702238297777 "" 91.70834918600795 0.7524336696145828 0
45 05:42:37.04 -09:59:37.82 454.29344068114403 "" 0.6702710525132716 0.0869013764768281 "" 4.229325794477718 0.5483367239730094 0
46 05:42:36.50 -09:59:12.92 454.29344068114403 < 0.37474533493740386 0.09368633373435097 < 2.364595793698807 0.5911489484247018 0
47 05:42:35.84 -09:58:55.32 454.29344068114403 "" 2.3867252748459578 0.10542415349399659 "" 15.059935426702706 0.6652131105189115 0
48 05:42:42.63 -09:58:37.72 454.29344068114403 < 0.37919730782681854 0.09479932695670464 < 2.392687181066523 0.5981717952666308 0
49 05:42:10.39 -09:58:38.22 454.29344068114403 "" 22.407006472349167 0.10397074244836031 "" 141.38538445781845 0.6560422701518099 0
50 05:42:57.57 -09:58:22.62 454.29344068114403 < 0.32680159218826754 0.08170039804706689 < 2.0620768244961036 0.5155192061240259 0
51 05:42:31.65 -09:57:41.40 454.29344068114403 "" 0.6560817128047347 0.08864624870136889 "" 4.139792850736672 0.5593466476145676 0
52 05:42:51.75 -09:57:41.12 454.29344068114403 "" 13.786733150482178 0.10801277245421713 "" 86.99254714384492 0.6815469696337926 0
53 05:42:56.77 -09:57:36.22 454.29344068114403 "" 0.8225379278883338 0.08156773728557858 "" 5.190110571402757 0.5146821334526434 0
54 05:42:02.81 -09:57:11.84 454.29344068114403 < 0.37022341538036024 0.09255585384509006 < 2.3360630516813092 0.5840157629203273 0
55 05:42:14.04 -09:56:19.18 454.29344068114403 "" 2.469161758199334 0.153824085438081 "" 15.580099238260965 0.9706105759987875 0
56 05:42:14.19 -09:56:13.08 454.29344068114403 "" 3.7620116490870714 0.2561965687073056 "" 23.737818971817482 1.6165680323320188 1
57 05:42:41.84 -09:56:07.52 454.29344068114403 < 0.3496941085843432 0.0874235271460858 < 2.2065257153312174 0.5516314288328044 0
58 05:42:53.90 -09:56:00.34 454.29344068114403 "" 0.42879063403233886 0.08355506887242936 "" 2.705614813803283 0.5272219450869552 0
59 05:42:39.22 -09:55:32.90 454.29344068114403 "" 10.950649157166481 0.10280743741513461 "" 69.09721488496305 0.6487019621295269 0
61 05:42:33.30 -09:54:31.50 454.29344068114403 < 0.3348133967301773 0.08370334918254432 < 2.112630300559791 0.5281575751399478 0
62 05:42:46.47 -09:54:02.28 454.29344068114403 "" 1.1434688931331038 0.08684470040256961 "" 7.215144480396556 0.5479791050934646 0
63 05:41:57.33 -09:53:59.00 453.1256464013421 < 0.3853556260592643 0.09633890651481608 < 2.419060531568061 0.6047651328920153 0
64 05:42:21.99 -09:53:24.06 454.29344068114403 "" 0.3863686288241297 0.09298861371709809 "" 2.437937311980997 0.586746423125084 0
65 05:42:30.73 -09:53:03.02 454.29344068114403 "" 3.1018839217722416 0.09141036674169234 "" 19.57249627987968 0.5767878837877347 0
66 05:43:03.19 -09:52:13.34 454.29344068114403 < 0.30329376997431234 0.07582344249357809 < 1.913745431563826 0.4784363578909565 0
67 05:43:04.10 -09:52:00.34 454.29344068114403 < 0.36135612936476 0.09033903234119 < 2.280111595427651 0.5700278988569127 0
68 05:43:00.03 -09:51:08.80 454.29344068114403 < 0.3358019856683855 0.08395049641709637 < 2.1188681720609126 0.5297170430152282 0
70 05:42:57.07 -09:50:51.52 454.29344068114403 "" 0.34537207102403045 0.0823250294180789 "" 2.1792542035003075 0.5194605512851445 0
71 05:42:48.91 -09:50:12.34 454.27436481159424 "" 14.585491269826889 0.08712611327287818 "" 92.02488135090981 0.5497086171577205 0
72 05:41:57.99 -09:49:51.00 451.064310840031 "" 0.7202536216937006 0.0893298348340033 "" 4.480331286719687 0.5556754479111669 0
73 05:42:21.40 -09:49:44.24 452.400238084308 "" 1.8188832327723503 0.07610936254726287 "" 11.381466226620457 0.4762461513491239 0
74 05:42:46.12 -09:49:42.66 453.8570279134123 "" 0.9372351923957467 0.08134848640426144 "" 5.902479157411969 0.5123129705157484 0
75 05:42:46.31 -09:48:03.34 453.0282638316138 "" 1.011673011817038 0.09841666785989525 "" 6.34802320031419 0.6175427075494803 0
78 05:42:47.66 -09:47:21.14 452.7518024748613 < 0.3492385317238851 0.08730963293097127 < 2.18872034347068 0.54718008586767 0
79 05:42:56.67 -09:46:59.08 453.10116173958306 "" 0.9393627988174558 0.08168456769476337 "" 5.89618977545628 0.5127174649248845 0
80 05:41:38.40 -09:46:40.84 448.28711578586024 "" 2.6244272012263536 0.08611337225626653 "" 16.12481680600327 0.5290915867396164 0
81 05:42:29.85 -09:46:39.24 451.3373817109562 "" 4.939203150570393 0.09057368694832182 "" 30.76148126992627 0.5640951970738867 0
82 05:42:55.88 -09:46:37.64 452.87331757873494 < 0.3476695902250711 0.08691739755626778 < 2.1800573466466298 0.5450143366616574 0
83 05:42:47.02 -09:46:28.08 452.26519689141656 < 0.3653952884253037 0.09134882210632593 < 2.2850569355300996 0.5712642338825249 0
84 05:43:15.05 -09:46:22.80 453.88793848557293 "" 7.531165145337582 0.08258240063095759 "" 47.435906029469685 0.5201547065321361 0
85 05:42:48.16 -09:46:16.90 452.23844568269084 "" 1.031458959914744 0.09743424241966699 "" 6.449627867596323 0.6092482877069215 0
86 05:42:49.20 -09:46:01.14 452.16709960592823 "" 0.6316276267170906 0.08750538924059127 "" 3.9482694243811642 0.5469913572383178 0
87 05:42:51.59 -09:45:52.68 452.2377362544013 < 0.3545760005152638 0.08864400012881594 < 2.2171275524259504 0.5542818881064876 0
88 05:42:52.44 -09:45:39.76 452.1789363825488 < 0.32842823366491314 0.08210705841622828 < 2.0530942442159454 0.5132735610539864 0
90 05:42:50.10 -09:45:19.06 451.86492370787613 < 0.3822814258485823 0.09557035646214558 < 2.3864272673409657 0.5966068168352414 0
91 05:42:49.40 -09:45:14.98 451.7883549486355 "" 2.1216082386672497 0.09098246539252192 "" 13.239848124069297 0.5677740130322467 0
92 05:42:45.63 -09:45:08.70 451.5111654157017 "" 0.7948495913296938 0.08865837493192223 "" 4.954156128347269 0.5525918818974471 0
93 05:42:32.76 -09:45:06.82 450.728925541095 "" 0.7796905701979995 0.09575822269128965 "" 4.842848535909961 0.594777705781521 0
94 05:40:58.21 -09:45:06.44 446.1502844959055 < 0.37333784897850736 0.09333446224462684 < 2.2720198133187064 0.5680049533296766 0
95 05:42:42.63 -09:45:03.52 451.2885367033274 "" 7.7182273380458355 0.09417257751065393 "" 48.05890987366581 0.5863822373883603 0
96 05:42:47.86 -09:44:51.10 451.4947448733137 "" 2.7205138467252254 0.090652457255567 "" 16.95524560477081 0.5649795457921696 0
97 05:42:44.20 -09:44:47.58 451.2474646198931 < 0.38280710998899464 0.09570177749724866 < 2.3831824386583578 0.5957956096645894 0
98 05:42:49.47 -09:44:39.70 451.4947546149545 "" 3.063587937504053 0.08672618858310528 "" 19.093410686458164 0.5405096147615502 0
